memberId,Location,Gender,Age,Height,Size,Clothing Style,Number of Items Purchased,Variety and Selection of Sizes,Satisfaction,Likelihood to Recommend,Overall Experience
785d1d0d-b3b1-45d6-9842-ac4601224f19,Online,female,55 to 64,5-foot-8 to 5-foot-11,M,street wear,7,10,5,10,The shipping was incredibly fast! I received my order within a few days. The clothing fits me perfectly and the quality is exceptional. It looks amazing!
256351d5-a7ea-45a6-8339-ac4601224f23,Atlantic Avenue Apparel,transgender,35 to 44,Less than 5 feet,S,oversized,2,4,6,9,The shipping was prompt and the package arrived in good condition. The clothing fits well and the quality is great. It has a nice overall look.
fb989b09-992e-4246-a398-ac4601224f19,Online,male,18 to 24,5-foot-8 to 5-foot-11,XL,casual wear,3,8,8,1,"The shipping took a bit longer than expected, but the package arrived safely. The clothing has a slightly loose fit, but the quality is decent. It looks okay."
f8add480-bb0d-4e5d-ab93-ac4601224f19,Pacific Style Spot,transgender,55 to 64,5 feet to 5-foot-3,XS,sports wear,1,1,3,5,"The shipping was delayed and it took quite some time to receive my order. Unfortunately, the clothing doesn't fit me well at all. The quality is subpar and the overall look is disappointing."
d16adf23-b7dd-4e52-a676-ac4601224f23,Pacific Style Spot,female,45 to 54,5 feet to 5-foot-3,XL,casual wear,9,7,6,4,The shipping experience was terrible. My package arrived damaged and very late. The clothing fit is completely off. The quality is terrible and it doesn't look fashionable at all.
d6df39dd-9beb-42bc-aabb-ac4601224f23,Online,male,25 to 34,5 feet to 5-foot-3,M,street wear,5,5,6,3,The shipping was incredibly fast! I was impressed with how quickly I received my order. The clothing fits me perfectly and the quality is exceptional. It looks stylish and trendy.
4503353d-d6d6-45f8-8607-ac4601224f19,Online,female,45 to 54,5-foot-8 to 5-foot-11,XL,street wear,5,8,0,7,The shipping was prompt and the package arrived in good condition. The clothing fits well and the quality is great. It has a nice design and I feel confident wearing it.
29a9da58-1ef0-44c6-8e90-ac4601224f19,Online,male,55 to 64,6-foot-4 +,L,oversized,1,2,3,7,"The shipping took a bit longer than expected, but the package arrived safely. Although the clothing has a slightly loose fit, the quality is decent for the price. It looks decent as well."
4dbcb1a0-4b0c-48bf-920e-ac4601224f19,Pacific Style Spot,transgender,35 to 44,5-foot-8 to 5-foot-11,M,casual wear,1,5,2,3,"The shipping was delayed and it took quite some time to receive my order. Unfortunately, the clothing doesn't fit me well at all. The quality is subpar and the overall look is underwhelming."
3a3ff3e1-eb06-478a-9437-ac4601224f19, ,female,55 to 64,5 feet to 5-foot-3,M,preppy,9,6,10,7,The shipping experience was terrible. My package arrived damaged and very late. The clothing fit is completely off. The quality is terrible and it doesn't look stylish or fashionable.
3006a761-c3bf-46bd-adc8-ac4601224f19,Big Apple Boutique,male,18 to 24,6-foot to 6-foot-3,M,preppy,3,0,7,10,The shipping was fast and hassle-free. The clothing fits me perfectly and the quality is top-notch. It looks incredibly stylish!
